"InstanceID"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"	"X73"	"X74"	"X75"	"X76"	"X77"	"X78"	"X79"	"X80"	"X81"	"X82"	"X83"	"X84"	"X85"	"X86"	"X87"	"X88"	"X89"	"X90"	"X91"	"X92"	"X93"	"X94"	"X95"	"X96"	"X97"	"X98"	"X99"	"Y"
"Instance1"	30894	6999	3082	805	21	40	30894	4228	3082	1971	805	798	21	40	30894	4228	3082	963	805	580	798	347	0	0	21	81	40	0	0	0	4798	4228	26094	3082	952	805	580	708	347	0	0	90	21	11	40	0	0	0	0	0	0	0	4798	4228	24220	3082	933	1874	805	301	670	32	20	312	0	0	0	22	49	0	21	48	16	38	11	0	3	40	0	20	35	2	0	0	0	0	48	0	14	78	338	17	20	0	0	24	27	0	0	0.645
"Instance2"	11121	9093	16607	2296	72	18	11121	1976	16607	4990	2296	2127	72	18	11121	1976	16607	3025	2296	1672	2127	186	0	0	72	35	18	0	0	72	11121	1976	0	16607	2973	2296	1672	808	186	0	0	607	72	52	18	0	0	0	72	0	0	0	11121	1976	0	16596	2973	0	2296	532	0	71	150	120	0	0	0	361	0	0	72	388	0	808	0	0	246	18	0	0	66	0	0	0	72	0	388	0	0	75	0	0	441	278	0	0	0	0	0	1.0425
"Instance3"	32104	7809	924	2138	35	27	32104	3171	924	3803	2099	835	35	27	32104	2441	924	1936	927	1394	770	190	730	1172	35	8	27	65	0	272	6895	2201	25209	924	1832	927	1394	284	190	730	1087	486	35	73	0	82	31	0	272	238	24	27	6895	2198	23593	924	1727	1616	898	197	284	508	594	190	728	120	85	0	77	29	35	0	370	0	43	575	39	0	79	0	0	66	0	0	0	24	0	27	0	72	343	0	46	0	0	7	29	0	19	0.615
"Instance4"	18465	15551	2238	1110	104	15	18465	6939	2238	4859	1108	3751	104	15	18465	6939	2238	2969	611	1664	2043	185	0	497	104	41	15	1690	18	0	6445	6939	11790	2238	2724	611	1664	1663	185	0	497	380	104	202	6	0	43	18	0	0	0	9	6445	6939	6085	2238	2572	5705	611	275	1637	920	143	185	0	497	139	0	150	0	104	50	230	24	34	0	0	6	0	0	0	122	21	18	0	0	50	9	0	261	78	0	11	0	0	69	0	27	0	2.075
"Instance5"	27107	10056	11403	2568	125	0	27107	4304	11403	4319	2568	1426	105	0	27107	3661	11403	2139	1197	1348	1350	697	641	1371	105	101	0	0	76	0	14462	3568	12620	11403	1940	1197	1348	649	695	641	1371	701	105	115	0	0	84	76	0	93	0	0	14462	3568	7402	11376	1687	3417	1058	274	454	544	83	655	641	1360	109	0	194	139	105	41	507	106	9	9	0	0	0	0	40	11	33	76	0	0	55	0	0	130	138	314	22	0	0	22	24	24	27	0.2925
"Instance6"	28711	9330	4519	311	28	16	28711	5299	4519	3735	308	294	28	16	28711	5299	4519	1409	308	1902	294	419	0	0	28	0	16	0	0	5	17123	5299	11580	4519	1381	308	1902	141	419	0	0	153	28	28	16	0	0	0	5	0	0	0	17123	5295	0	4519	1366	11580	308	652	141	685	158	373	0	0	0	25	42	0	28	46	18	0	28	0	68	16	0	42	46	30	0	0	5	0	46	0	15	171	0	31	0	38	0	0	23	29	0	1.4075
"Instance7"	26448	5864	9284	2311	32	0	26448	1918	9284	2780	2311	1166	32	0	26443	918	9284	1343	1616	1292	1166	73	1000	695	32	70	0	0	0	0	9227	918	17208	9284	1272	1590	1292	913	73	1000	695	253	32	71	0	0	0	0	0	0	0	0	9227	918	11310	9273	1117	5341	1074	233	902	434	359	73	1000	695	125	0	31	516	32	15	222	11	5	0	0	0	0	0	0	0	0	0	0	0	15	0	0	44	192	112	13	0	0	29	36	14	0	1.5425
"Instance8"	24870	4920	3691	2203	52	22	24870	506	3691	3065	2203	1349	52	22	24868	506	3691	898	2203	1466	1349	613	0	0	52	0	22	0	0	72	8155	227	16634	3691	763	2192	1466	70	613	0	0	1218	52	75	22	0	60	0	72	279	0	0	8155	227	9817	3688	719	6817	2075	416	43	422	133	527	0	0	0	718	259	117	52	34	224	27	46	0	17	22	0	0	47	81	0	0	72	0	48	0	0	5	148	0	107	0	38	0	0	22	0	0.845
"Instance9"	18284	9541	12378	0	31	0	18284	7900	12378	1222	0	419	31	0	18284	7900	12378	37	0	720	419	218	0	0	31	228	0	0	0	15	18280	7900	0	12378	37	0	720	34	218	0	0	385	31	0	0	0	0	0	15	0	0	0	18280	7900	0	12376	0	0	0	200	0	66	280	218	0	0	0	385	0	0	31	0	0	34	0	0	0	0	0	0	0	0	0	0	15	0	0	0	37	254	0	125	0	225	609	0	0	0	0	0.75
"Instance10"	17659	9793	2826	602	79	60	17659	6056	2826	2809	600	928	79	60	17659	6056	2826	659	600	1856	928	294	0	0	79	0	60	0	0	0	10610	6056	6507	2826	610	600	1856	372	294	0	0	556	79	49	47	0	0	0	0	0	0	13	10610	6056	6502	2826	562	5	600	490	275	392	773	294	0	0	0	556	0	0	79	0	0	97	49	0	0	47	0	0	0	0	51	0	0	0	0	13	0	185	99	0	0	26	19	18	20	14	0	1.1875
"Instance11"	11999	8819	10024	1622	7	0	11999	3857	10024	4536	1619	426	7	0	11999	3857	10024	2516	1619	1335	426	685	0	0	7	0	0	0	0	0	11999	3857	0	10024	2516	1619	1335	263	685	0	0	163	7	0	0	0	0	0	0	0	0	0	11999	3852	0	10017	1734	0	1619	501	0	222	326	685	0	0	723	0	0	0	7	59	163	263	0	0	0	0	0	0	0	0	0	0	0	0	62	0	17	53	0	0	0	66	114	0	0	0	0	0.6575
"Instance12"	21386	9603	2945	600	41	0	21386	4906	2945	3693	600	1004	41	0	21386	4485	2945	2221	543	1218	966	236	421	57	41	18	0	38	0	0	6667	4485	14714	2945	2126	543	1218	828	236	421	57	138	41	82	0	0	13	0	0	0	38	0	6667	4485	9787	2943	1907	4927	543	179	538	661	203	236	421	0	191	0	0	0	41	38	138	27	82	57	0	0	0	0	0	0	0	0	0	38	55	0	0	148	208	43	18	0	0	9	17	17	22	1.5325
"Instance13"	36049	8540	10417	1103	8	0	36049	3245	10417	3634	1103	1657	8	0	36049	2716	10417	2835	1098	463	1628	317	525	5	8	19	0	0	29	0	5925	2716	30117	10417	2824	1098	463	863	317	525	5	765	8	11	0	0	0	29	0	0	0	0	5925	2714	26836	10412	2708	3281	1098	285	845	25	0	246	525	0	116	0	11	0	8	27	27	18	11	0	727	0	0	25	71	0	0	29	0	0	27	0	0	70	378	182	0	0	0	23	50	0	0	1.1575
"Instance14"	22075	6471	8597	1106	62	6	22075	828	8597	5068	1106	571	62	6	22075	828	8597	2356	1106	2701	529	10	0	0	62	0	6	42	0	1	22075	828	0	8597	2109	1106	2701	326	10	0	0	203	62	228	0	0	19	0	1	0	42	6	22075	828	0	8594	1955	0	1106	351	0	806	805	0	0	0	97	104	0	0	62	30	43	243	25	0	56	0	0	0	0	111	52	0	0	42	98	6	0	16	0	144	0	0	0	0	56	23	0	0.23
"Instance15"	23571	11160	11880	3218	47	0	23571	2319	11880	7807	3218	1034	47	0	23571	1124	11880	4587	2177	2588	1034	537	1195	1041	47	62	0	0	0	33	23571	1124	0	11880	4507	2152	2588	352	537	1195	1041	682	47	80	0	0	0	0	33	0	0	0	23571	1124	0	11820	4468	0	1784	691	232	1079	136	537	1195	1041	0	131	461	368	47	34	72	38	17	0	18	0	0	48	0	105	0	0	33	0	81	0	0	46	0	87	155	0	0	7	19	20	0	1.49
"Instance16"	21066	6675	0	310	74	35	21066	0	0	6331	310	344	74	35	21066	0	0	737	0	5360	344	0	0	310	74	232	35	0	0	0	21064	0	0	0	146	0	5360	255	0	0	0	89	74	115	35	310	476	0	0	0	0	0	21064	0	0	0	0	0	0	2315	0	80	281	0	0	0	130	82	0	0	74	174	0	255	4	0	7	35	310	0	0	0	78	0	0	0	225	0	0	0	0	0	0	0	154	0	0	0	0	0.375
"Instance17"	21565	6718	821	2291	82	64	21565	3307	821	2582	2291	829	82	64	21565	3307	821	117	1547	2272	827	176	0	744	82	17	64	0	0	0	4894	3307	16671	821	49	1547	2272	383	176	0	727	444	82	68	64	17	0	0	0	0	0	0	4894	3307	15103	821	0	1568	1547	458	342	723	642	176	0	727	0	363	81	0	82	0	0	41	15	0	0	64	17	0	0	71	0	0	0	0	0	0	0	96	364	0	82	0	25	12	64	36	0	0.52
"Instance18"	17655	4744	8496	1118	0	0	17655	1621	8496	2735	1118	386	0	0	17655	1023	8496	2027	1021	635	358	40	598	97	0	0	0	0	28	33	8500	1023	9152	8496	1953	1021	635	167	40	598	97	191	0	49	0	0	25	28	33	0	0	0	8500	1021	6235	8479	1895	1242	760	203	155	144	86	40	598	0	47	0	156	261	0	0	35	12	0	97	0	0	0	8	0	0	0	28	33	0	0	0	0	19	91	118	10	0	0	0	0	0	25	0.4275
"Instance19"	24514	6271	6657	1292	0	13	24514	3243	6657	2589	1292	437	0	13	24514	2481	6657	1331	1286	732	330	500	762	6	0	0	13	107	0	26	19211	2481	5298	6657	1313	1286	732	97	500	762	0	233	0	18	13	6	0	0	26	0	75	0	19211	2470	646	6657	1265	4652	1286	394	97	90	69	184	762	0	48	33	0	0	0	0	0	0	0	0	200	13	6	0	290	0	0	0	26	75	0	0	0	73	6	67	65	6	0	0	0	0	23	1.25
"Instance20"	20285	4330	5400	1670	172	0	20285	2813	5400	1458	1670	58	172	0	20285	2813	5400	25	1584	1313	15	120	0	38	172	0	0	43	0	0	20285	2813	0	5400	25	1584	1313	12	120	0	36	3	172	0	0	2	0	0	0	0	43	0	20285	2813	0	5394	0	0	1584	291	0	311	540	120	0	0	0	0	0	0	172	0	0	12	0	36	0	0	0	0	0	0	0	0	0	43	0	0	0	85	0	0	0	0	454	0	49	5	0	2.4075
"Instance21"	14416	10652	7114	855	32	23	14416	1051	7114	3565	855	6034	32	23	14414	562	7114	2247	753	809	5865	281	489	102	32	187	23	0	169	0	6452	562	7725	7114	2110	753	809	5531	281	489	102	318	32	58	20	0	79	169	0	0	0	3	6452	562	5516	7107	1952	1444	573	33	5333	376	0	281	489	82	94	0	116	180	32	0	202	94	12	20	0	20	0	0	0	0	41	169	0	0	0	3	0	18	77	148	15	0	0	146	0	0	0	0.0425
"Instance22"	8399	10585	16268	3829	118	58	8399	4733	16268	5707	3829	145	118	58	8399	4733	16268	175	3788	5045	145	465	0	41	118	0	58	0	0	22	8391	4733	8	16268	52	3749	5045	77	465	0	0	68	118	55	58	41	68	0	22	0	0	0	8391	4728	8	16263	0	0	2851	2348	0	453	305	368	0	0	0	68	0	898	118	271	0	77	0	0	0	58	41	94	43	35	66	0	22	0	271	0	52	154	0	163	0	0	0	0	16	0	0	0.25
"Instance23"	23130	10008	12485	1503	47	8	23130	4413	12485	5197	1503	398	47	8	23130	4413	12485	3949	1450	925	359	271	0	53	47	47	8	0	39	5	23130	4413	0	12485	3895	1450	925	86	271	0	0	273	47	54	8	53	0	39	5	0	0	0	23130	4413	0	12483	3852	0	1450	266	0	239	118	271	0	0	0	106	167	0	47	0	0	86	0	0	0	8	53	0	0	0	0	39	5	0	0	0	0	123	0	157	0	68	0	0	39	0	0	0.2075
"Instance24"	44	11195	19096	1993	0	13	44	9577	19096	1333	1993	285	0	13	44	9577	19096	32	1993	956	285	321	0	0	0	0	13	0	0	24	44	9577	0	19096	32	1993	956	105	321	0	0	180	0	0	0	0	0	0	24	0	0	13	44	9577	0	19092	0	0	1993	329	0	244	173	321	0	0	0	180	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	24	0	0	13	32	263	0	232	0	56	0	0	0	0	0	0.595
"Instance25"	14191	7373	4912	1090	24	0	14191	4171	4912	2705	1090	497	24	0	14191	4171	4912	746	1090	1695	497	221	0	0	24	22	0	0	0	21	14191	4171	0	4912	727	1090	1695	335	221	0	0	162	24	19	0	0	0	0	21	0	0	0	14191	4171	0	4912	727	0	1090	319	0	878	212	221	0	0	0	162	0	0	24	0	0	335	0	0	0	0	0	37	0	54	0	0	6	0	0	0	0	101	0	23	37	28	0	0	44	31	0	1.485
"Instance26"	10811	2860	3076	263	11	8	10811	1957	3076	795	263	108	11	8	10811	1957	3076	72	263	587	108	120	0	0	11	0	8	0	0	16	5650	1957	5159	3076	22	263	587	85	120	0	0	23	11	50	0	0	0	0	16	0	0	8	5650	1957	0	3076	0	5159	263	179	0	132	68	120	0	0	0	23	0	0	11	24	0	85	50	0	0	0	0	0	0	10	0	0	16	0	24	8	0	61	0	0	0	0	19	0	22	16	0	0.6775
"Instance27"	18380	4594	11201	767	88	41	18380	1530	11201	2564	740	500	88	41	18378	1315	11201	162	740	1804	500	591	215	0	88	0	41	0	0	7	18378	1315	0	11201	0	740	1804	96	591	215	0	404	88	162	41	0	0	0	7	0	0	0	18378	1313	0	11195	0	0	740	316	0	603	365	591	215	0	0	404	0	0	88	0	0	96	0	0	0	41	0	0	0	0	0	0	7	0	0	0	0	33	0	102	0	0	0	0	0	24	13	0.9575
"Instance28"	17577	7178	2694	642	42	80	17577	3335	2694	2859	642	984	42	80	17577	2814	2694	1660	532	898	984	238	521	110	42	44	80	0	0	0	4102	2814	13473	2694	1596	532	898	777	238	521	110	207	42	64	6	0	0	0	0	0	0	74	4102	2812	9519	2694	1253	3954	502	120	756	257	65	238	521	0	314	0	75	30	42	74	132	19	28	108	0	6	0	2	0	50	0	0	0	0	74	74	0	82	116	16	36	0	0	17	0	0	18	0.7825
"Instance29"	17989	7100	7578	3	28	73	17989	6118	7578	900	3	82	28	73	17989	6118	7578	9	3	792	82	87	0	0	28	0	73	0	0	12	17989	6118	0	7578	9	3	792	59	87	0	0	23	28	0	26	0	0	0	12	0	0	47	17989	6118	0	7578	0	0	3	426	0	0	156	87	0	0	0	0	0	0	28	0	0	59	0	0	23	26	0	10	0	0	0	0	12	0	0	47	0	198	0	0	50	46	0	0	0	0	0	0.115
"Instance30"	18435	13777	1156	610	145	0	18435	7934	1156	3976	610	1863	145	0	18432	7357	1156	1399	479	2370	1863	182	577	131	145	0	0	0	0	0	5179	7335	12962	1156	1399	477	2370	1404	182	577	114	459	145	0	0	17	0	0	0	22	0	0	5179	7315	12873	1156	1298	84	477	106	1404	1422	649	182	577	0	49	0	179	0	145	34	280	0	0	114	0	0	17	0	0	80	0	0	0	0	34	0	32	173	323	12	80	0	0	48	0	31	14	1.99
